book_code,chapter,verse,word
1-ne,1,20,slain
1-ne,1,20,bsought
1-ne,1,20,life
1-ne,1,20,nephi
1-ne,1,20,tender
1-ne,1,20,cmercies
1-ne,1,20,lord
1-ne,1,20,chosen
1-ne,1,20,faith
1-ne,1,20,mighty
1-ne,1,20,power
1-ne,1,20,ddeliverance
1-ne,2,1,chapter
1-ne,2,1,2lehi
1-ne,2,1,takes
1-ne,2,1,family
1-ne,2,1,wilderness
1-ne,2,1,red
1-ne,2,1,sea
1-ne,2,1,leave
1-ne,2,1,property
1-ne,2,1,lehi
1-ne,2,1,offers
1-ne,2,1,sacrifice
1-ne,2,1,lord
1-ne,2,1,teaches
1-ne,2,1,sons
1-ne,2,1,commandments
1-ne,2,1,laman
1-ne,2,1,lemuel
1-ne,2,1,murmur
1-ne,2,1,father
1-ne,2,1,nephi
1-ne,2,1,obedient
1-ne,2,1,prays
1-ne,2,1,faith
1-ne,2,1,lord
1-ne,2,1,speaks
1-ne,2,1,chosen
1-ne,2,1,rule
1-ne,2,1,brethren
1-ne,2,1,600
1-ne,2,1,b.c
1-ne,2,2,lord
1-ne,2,2,spake
1-ne,2,2,father
1-ne,2,2,dream
1-ne,2,2,blessed
1-ne,2,2,art
1-ne,2,2,lehi
1-ne,2,2,hast
1-ne,2,2,hast
1-ne,2,2,faithful
1-ne,2,2,declared
1-ne,2,2,people
1-ne,2,2,commanded
1-ne,2,2,thee
1-ne,2,2,seek
1-ne,2,2,atake
1-ne,2,2,blife
1-ne,2,3,lord
1-ne,2,3,acommanded
1-ne,2,3,father
1-ne,2,3,bdream
1-ne,2,3,ctake
1-ne,2,3,family
1-ne,2,3,depart
1-ne,2,3,wilderness
1-ne,2,4,aobedient
1-ne,2,4,word
1-ne,2,4,lord
1-ne,2,4,lord
1-ne,2,4,commanded
1-ne,2,5,departed
1-ne,2,5,wilderness
1-ne,2,5,left
1-ne,2,5,house
1-ne,2,5,land
1-ne,2,5,inheritance
1-ne,2,5,gold
1-ne,2,5,silver
1-ne,2,5,precious
1-ne,2,5,save
1-ne,2,5,family
1-ne,2,5,provisions
1-ne,2,5,tents
1-ne,2,5,adeparted
1-ne,2,5,wilderness
1-ne,2,6,borders
1-ne,2,6,shore
1-ne,2,6,ared
1-ne,2,6,sea
1-ne,2,6,traveled
1-ne,2,6,wilderness
1-ne,2,6,borders
1-ne,2,6,nearer
1-ne,2,6,red
1-ne,2,6,sea
1-ne,2,6,travel
1-ne,2,6,wilderness
1-ne,2,6,family
1-ne,2,6,consisted
1-ne,2,6,mother
1-ne,2,6,sariah
1-ne,2,6,elder
1-ne,2,6,brothers
1-ne,2,6,laman
1-ne,2,6,lemuel
1-ne,2,6,sam
1-ne,2,7,traveled
1-ne,2,7,days
1-ne,2,7,wilderness
1-ne,2,7,pitched
1-ne,2,7,tent
1-ne,2,7,avalley
1-ne,2,7,briver
1-ne,2,7,water
1-ne,2,8,built
1-ne,2,8,aaltar
1-ne,2,8,bstones
1-ne,2,8,coffering
1-ne,2,8,lord
1-ne,2,8,dthanks
1-ne,2,8,lord
1-ne,2,8,god
1-ne,2,9,called
1-ne,2,9,river
1-ne,2,9,laman
1-ne,2,9,emptied
1-ne,2,9,red
1-ne,2,9,sea
1-ne,2,9,valley
1-ne,2,9,borders
1-ne,2,9,mouth
1-ne,2,9,thereof
1-ne,2,10,father
1-ne,2,10,waters
1-ne,2,10,river
1-ne,2,10,emptied
1-ne,2,10,afountain
1-ne,2,10,red
1-ne,2,10,sea
1-ne,2,10,spake
1-ne,2,10,laman
1-ne,2,10,mightest
1-ne,2,10,river
1-ne,2,10,continually
1-ne,2,10,running
1-ne,2,10,fountain
1-ne,2,10,righteousness
1-ne,2,10,10
1-ne,2,10,spake
1-ne,2,10,lemuel
